Feature,marginal_data,marginal_model,marginal_gen
l1,0.0,0.0,0.0
l2,0.0,0.0,0.0
l3,0.0,0.0,0.0
l4,0.0,2.3240413467190475e-06,1.4e-05
l5,0.0,2.667540748636489e-06,5.8e-05
l6,2.1830247991617184e-05,1.0797719046257057e-05,0.000408
l7,0.00013098148794970312,6.230663912577449e-05,0.001636
l8,0.00039294446384910935,0.0003088960277006649,0.004838
l9,0.0008622947956688788,0.0009136027835426789,0.011972
l10,0.005370241005937827,0.0057061605824969604,0.024234
l11,0.029831033880544883,0.029608251771758187,0.044426
l12,0.07368800209570381,0.07338986562210299,0.076518
l13,0.14919882989870764,0.14552894888878415,0.115578
l14,0.2118953021306322,0.2120511052404175,0.143078
l15,0.23606138665735243,0.23714674658493515,0.151496
l16,0.15299729304924903,0.1534968011272723,0.13517
l17,0.07751921061823262,0.07839191138567225,0.10526
l18,0.03571428571428571,0.035953125588888545,0.07418
l19,0.015532221446035627,0.015811254896035593,0.047966
l20,0.006931103737338456,0.007360403867734379,0.02888
l21,0.002434072651065316,0.0025455443382480887,0.016708
l22,0.0008950401676563046,0.0009606673413304501,0.009038
l23,0.00021830247991617185,0.0002868416246998868,0.004658
l24,0.00021830247991617185,0.00026475378549208127,0.002104
l25,2.1830247991617184e-05,6.773051027686009e-05,0.001012
l26,5.457561997904296e-05,6.61726758322454e-05,0.000452
l27,0.0,3.572584775210826e-05,0.000198
l28,1.0915123995808592e-05,2.0015022286772987e-05,8e-05
l29,0.0,2.0783074067070015e-06,1.6e-05
l30,0.0,1.3891933201998245e-06,1e-05
aA0,0.0,0.0,0.0
aA1,0.9294446384910933,0.930071815667372,0.929012
aA2,0.04800471533356619,0.04691284064785204,0.052274
aA3,0.008262748864827104,0.00822379068933816,0.007954
aA4,0.03450270695075096,0.03442840679535007,0.038434
aA5,0.07068634299685644,0.07103646367105577,0.080394
aA6,0.06920188613342648,0.06892471522824571,0.060264
aA7,0.08551999650716031,0.08558380579596622,0.064474
aA8,0.07404820118756548,0.0744484045838386,0.062464
aA9,0.05730440097799511,0.05767633509561684,0.054762
aA10,0.04406435557107929,0.04440969581101479,0.046534
aA11,0.03666390150192106,0.036872591029607125,0.039276
aA12,0.026447345441844218,0.026705482828904906,0.031332
aA13,0.013010827803003841,0.013251353610468652,0.023362
aA14,0.005850506461753406,0.00604241781987064,0.016106
aA15,0.0022921760391198046,0.002372128395746501,0.010118
aA16,0.0007203981837233671,0.0008266642411824451,0.005854
aA17,0.0002728780998952148,0.0004205813864413714,0.003524
aA18,0.00012006636395389451,0.0002032302590197221,0.001782
aA19,1.0915123995808592e-05,7.814561854770667e-05,0.000946
aA20,2.1830247991617184e-05,4.2410663492185424e-05,0.00055
aA21,1.0915123995808592e-05,2.4711207692925654e-05,0.00018
aA22,0.0,4.990013749618e-06,6e-05
aA23,0.0,5.346676806469508e-06,3.8e-05
aA24,0.0,3.7087297847709603e-06,2e-05
aA-25,5.457561997904296e-05,6.708588477046136e-05,0.000454
aA-24,1.0915123995808592e-05,6.743546071435093e-05,0.000996
aA-23,0.00021830247991617185,0.0002622631853406308,0.002082
aA-22,0.00021830247991617185,0.0002861339078417032,0.004592
aA-21,0.0008186342996856444,0.000924337089031307,0.008986
aA-20,0.00240132727907789,0.0024937060316619127,0.016494
aA-19,0.006734631505413901,0.00717247544614562,0.028652
aA-18,0.014975550122249388,0.015327195955851735,0.047892
aA-17,0.03483016067062522,0.0352235630406099,0.074322
aA-16,0.07513971358714636,0.07607231850793185,0.106516
aA-15,0.14994105833042262,0.15031141482297986,0.138272
aA-14,0.23252488648271044,0.23346692609783076,0.159062
aA-13,0.2133033531260915,0.2134695002849066,0.157922
aA-12,0.16333391547327977,0.16043341994654658,0.13988
aA-11,0.10804881243450926,0.10742979786598325,0.11368
aA-10,0.08416652113168005,0.08463046427994136,0.093106
aA-9,0.07768293747816975,0.07769037680393241,0.080832
aA-8,0.07828326929793923,0.07822906756214892,0.080116
aA-7,0.07648227383863081,0.07710781783544628,0.075154
aA-6,0.07211622424030736,0.07184722149717383,0.065638
aA-5,0.010696821515892421,0.010921748036573075,0.016144
aA-4,0.002696035626964722,0.002759825610684201,0.008382
aA-3,0.101619804400978,0.10208490868564311,0.108812
aA-2,0.0001528117359413203,0.00022502487038889222,0.001408
aA-1,0.0,4.67048673106993e-06,2e-05
aC0,1.0,1.0,1.0
aC1,3.274537198742578e-05,1.3602131130580181e-05,5e-05
aC2,0.0007313133077191757,0.00046551922685925053,0.000522
aC3,0.0007531435557107929,0.0007349543765921711,0.001552
aC4,0.00022921760391198044,0.000706196585982903,0.012146
aC5,0.00013098148794970312,0.0005044887296724763,0.009106
aC6,6.549074397485156e-05,0.00041306528750892786,0.00772
aC7,0.0001418966119455117,0.00045890369221311027,0.007784
aC8,8.732099196646873e-05,0.0004152074989827385,0.008222
aC9,8.732099196646873e-05,0.0003884779593231833,0.007456
aC10,0.00017464198393293747,0.0004049049524162477,0.006026
aC11,5.457561997904296e-05,0.00024047907713207618,0.004448
aC12,0.00010915123995808593,0.0001837151195372069,0.00287
aC13,5.457561997904296e-05,8.845149311243463e-05,0.001648
aC14,7.640586797066015e-05,5.9968508948227223e-05,0.00095
aC15,4.366049598323437e-05,1.822154596976293e-05,0.000502
aC16,0.0,6.944653743414671e-06,0.000214
aC17,0.0,5.757179554872349e-06,0.000104
aC18,0.0,1.522760737387975e-06,6e-05
aC19,0.0,6.979536756246578e-07,2.4e-05
aC20,0.0,6.12061349244613e-07,2.2e-05
aC21,0.0,0.0,0.0
aC22,0.0,0.0,0.0
aC23,0.0,0.0,0.0
aC24,0.0,0.0,0.0
aC-25,2.1830247991617184e-05,6.773051027686009e-05,0.001012
aC-24,0.00021830247991617185,0.00026475378549208127,0.002104
aC-23,0.00021830247991617185,0.00028686162282817544,0.00466
aC-22,0.0008950401676563046,0.0009609860587698373,0.00905
aC-21,0.002434072651065316,0.0025463013642982443,0.016742
aC-20,0.006931103737338456,0.007361488946651937,0.028924
aC-19,0.015543136570031436,0.01581277154306459,0.04808
aC-18,0.035725200838281526,0.035957900903956626,0.074394
aC-17,0.07753012574222844,0.07840893795951084,0.10569
aC-16,0.15301912329724066,0.15352903960146783,0.135892
aC-15,0.23608321690534403,0.23724347361853917,0.152712
aC-14,0.2120044533705903,0.21227064364903261,0.145176
aC-13,0.1495153684945861,0.1459272962687732,0.118828
aC-12,0.07412460705553615,0.07397592486855356,0.08118
aC-11,0.03024580859238561,0.030277330653522717,0.05058
aC-10,0.005719524973803703,0.006213000841895468,0.03117
aC-9,0.001102427523576668,0.0013067384886745392,0.019498
aC-8,0.0005130108278030038,0.0007468832493174278,0.013584
aC-7,0.000294708347886832,0.0006642588236848306,0.015828
aC-6,0.00018555710792874606,0.0005173858426805915,0.009448
aC-5,0.0001528117359413203,0.0003469427328708995,0.003408
aC-4,2.1830247991617184e-05,0.0001242002875862797,0.001272
aC-3,0.0001528117359413203,0.00010485009446545476,0.000532
aC-2,4.366049598323437e-05,6.587953085815513e-05,0.000854
aC-1,1.0915123995808592e-05,8.174553260780611e-07,4e-05
aD0,0.0,0.0,0.0
aD1,0.0,7.562206201724593e-05,0.000288
aD2,0.00025104785190359764,0.00044610744290437545,0.001626
aD3,0.0041914076143905,0.004252732098648008,0.006538
aD4,0.04518861334264757,0.04490464490266181,0.053606
aD5,0.07846882640586797,0.07843550176817349,0.070884
aD6,0.048910670625218304,0.04867425938186082,0.048726
aD7,0.04525410408662242,0.0446805841304258,0.049712
aD8,0.04527593433461404,0.04511424445936391,0.045462
aD9,0.04477383863080685,0.04503230902304722,0.039366
aD10,0.04195773663988823,0.04182412563774721,0.032282
aD11,0.029831033880544883,0.029965123487320822,0.024692
aD12,0.015477645826056584,0.015913595825403158,0.017278
aD13,0.006778292001397136,0.007034145206383351,0.011346
aD14,0.002990743974851554,0.0031634844457035594,0.00712
aD15,0.001233409011526371,0.0013063763196178785,0.00393
aD16,0.0005130108278030038,0.0005296958463857168,0.002332
aD17,0.00020738735592036326,0.00021715369684682318,0.001122
aD18,2.1830247991617184e-05,5.7636273131439864e-05,0.000594
aD19,6.549074397485156e-05,4.934146550421562e-05,0.00026
aD20,1.0915123995808592e-05,1.1388413315951145e-05,0.000106
aD21,0.0,1.0054218019061742e-05,5.2e-05
aD22,0.0,9.803321200586628e-06,2.2e-05
aD23,0.0,1.812516303668127e-06,1.2e-05
aD24,0.0,5.858517657737507e-07,2e-06
aD-25,0.0,0.0,0.0
aD-24,0.0,3.7747386224774934e-07,6e-06
aD-23,0.0,8.215993132882134e-06,3.8e-05
aD-22,0.0,6.008676090803406e-06,3.6e-05
aD-21,0.0,1.507858741311516e-05,0.000138
aD-20,1.0915123995808592e-05,3.233593155134842e-05,0.000274
aD-19,1.0915123995808592e-05,5.750205192566451e-05,0.000602
aD-18,0.00010915123995808593,0.00011660562322553205,0.001236
aD-17,0.0002837932238910234,0.000300803627082032,0.002212
aD-16,0.0006549074397485155,0.000723537036715002,0.004146
aD-15,0.0018009954593084178,0.0019140220092532208,0.007164
aD-14,0.0034164338106880895,0.0034910032730789786,0.01151
aD-13,0.008350069856793573,0.008584003290353335,0.017302
aD-12,0.01883950401676563,0.01889062232574112,0.02434
aD-11,0.028313831645127487,0.028428501337517238,0.032156
aD-10,0.038890586797066015,0.03904215989096227,0.038888
aD-9,0.04667307020607754,0.04659234063473064,0.04283
aD-8,0.04481749912679008,0.04431593887634725,0.043786
aD-7,0.03868319944114565,0.03850929183968586,0.04085
aD-6,0.04086622424030737,0.040871229083080794,0.043136
aD-5,0.13802174292699965,0.13802431776331636,0.098956
aD-4,0.001200663639538945,0.0011806854837267998,0.004122
aD-3,0.00020738735592036326,0.00034257326599065554,0.001892
aD-2,0.00025104785190359764,0.0002622045087267157,0.001686
aD-1,0.0,1.5848379046289348e-06,5.2e-05
aE0,0.0,0.0,0.0
aE1,3.274537198742578e-05,8.695416858899386e-05,0.000282
aE2,0.00019647223192455467,0.0004202324730078467,0.001672
