Feature,marginal_data,marginal_model,marginal_gen
l1,0.0,0.0,0.0
l2,0.0,0.0,0.0
l3,0.0,0.0,0.0
l4,0.0,2.4145379603960116e-06,1.4e-05
l5,1.626214579013701e-05,3.1413630439841773e-06,5.8e-05
l6,8.131072895068505e-06,1.0600364692590153e-05,0.000408
l7,0.0002520632597471236,9.750394270407675e-05,0.001636
l8,0.00030084969711753466,0.00028051860403322513,0.004838
l9,0.0006830101231857544,0.0007278774431665716,0.011972
l10,0.004236288978330691,0.004379975084871417,0.024234
l11,0.029263731349351545,0.02886860867818912,0.044426
l12,0.07139082001870146,0.07102571286263044,0.076518
l13,0.16185713704923366,0.162847673362901,0.115578
l14,0.22397040289466194,0.22578075544025886,0.143078
l15,0.24018376224742854,0.24186897946322708,0.151496
l16,0.14535919014513965,0.14415675120292878,0.13517
l17,0.06911411960808228,0.06734764271227679,0.10526
l18,0.031556693905760866,0.03067503739879399,0.07418
l19,0.013091027361060293,0.013032754140767258,0.047966
l20,0.005618571370492337,0.0055483869622255004,0.02888
l21,0.0021222100256128797,0.0021595841562392724,0.016708
l22,0.0005935683213400008,0.0006285951177991784,0.009038
l23,0.0002032768223767126,0.00024506460340279395,0.004658
l24,0.00010570394763589056,0.0001349134638167814,0.002104
l25,4.8786437370411024e-05,8.146291186943414e-05,0.001012
l26,2.4393218685205512e-05,4.670471179483077e-05,0.000452
l27,0.0,2.733890583032643e-05,0.000198
l28,0.0,1.3571049488280376e-05,8e-05
l29,0.0,1.9725336421794427e-06,1.6e-05
l30,0.0,1.7758066832672937e-06,1e-05
aA0,0.0,0.0,0.0
aA1,0.8996137740374842,0.8997410621396654,0.929012
aA2,0.08118876285725901,0.08113793224170249,0.052274
aA3,0.009773549619872342,0.009764606707108985,0.007954
aA4,0.03432125869008416,0.03455896081278919,0.038434
aA5,0.07154531040370776,0.0712262299443265,0.080394
aA6,0.06913851282676749,0.06950674548896245,0.060264
aA7,0.08776680082936944,0.08759207516163381,0.064474
aA8,0.07224458267268366,0.0722291317397067,0.062464
aA9,0.053575639305606375,0.053771978160234,0.054762
aA10,0.04875391307883075,0.04817830087432222,0.046534
aA11,0.03941944139529211,0.03950172974649867,0.039276
aA12,0.026816278407935927,0.026738711100267994,0.031332
aA13,0.012001463593121112,0.011995480439431062,0.023362
aA14,0.005203886652843843,0.005229452416019104,0.016106
aA15,0.0017400495995446598,0.001796810858467999,0.010118
aA16,0.0007399276334512339,0.0008129993809881346,0.005854
aA17,0.00021140789527178112,0.00031419980465352657,0.003524
aA18,0.00010570394763589056,0.0001753073114956407,0.001782
aA19,1.626214579013701e-05,6.533318416950909e-05,0.000946
aA20,1.626214579013701e-05,3.485701710980035e-05,0.00055
aA21,0.0,1.2306646631307397e-05,0.00018
aA22,0.0,6.3304704607774905e-06,6e-05
aA23,0.0,3.5180070095881203e-06,3.8e-05
aA24,0.0,2.8272834522116533e-06,2e-05
aA-25,2.4393218685205512e-05,4.9462569590137495e-05,0.000454
aA-24,4.8786437370411024e-05,8.040240386128952e-05,0.000996
aA-23,9.757287474082205e-05,0.00013344371375971148,0.002082
aA-22,0.0001870146765865756,0.0002359705590272681,0.004592
aA-21,0.0006016993942350693,0.0006221335234880732,0.008986
aA-20,0.0019758507135016466,0.002059006742977511,0.016494
aA-19,0.005415294548115624,0.005329041850914168,0.028652
aA-18,0.01261129406025125,0.012530292740743396,0.047892
aA-17,0.030613489449932918,0.029785882989052805,0.074322
aA-16,0.06708948245721023,0.06530475732369787,0.106516
aA-15,0.14122047404154978,0.1397974956610172,0.138272
aA-14,0.23228849046631703,0.23360700836941387,0.159062
aA-13,0.22111639630849292,0.2228812197254641,0.157922
aA-12,0.17650119933325203,0.17766403373664338,0.13988
aA-11,0.10797251697361467,0.10776215327800183,0.11368
aA-10,0.08579908118876285,0.08495974248059558,0.093106
aA-9,0.07727771679473107,0.07717373487603317,0.080832
aA-8,0.08165223401227792,0.08240799389404366,0.080116
aA-7,0.07805016871976257,0.07762906245272629,0.075154
aA-6,0.07061836809366996,0.07108697068828959,0.065638
aA-5,0.010936293043867139,0.011051817508655158,0.016144
aA-4,0.004122453957799732,0.004148143292196791,0.008382
aA-3,0.10781802658860837,0.10781915259876557,0.108812
aA-2,0.00014635931211123308,0.00022376387306621124,0.001408
aA-1,8.131072895068505e-06,9.089252715060818e-06,2e-05
aC0,1.0,1.0,1.0
aC1,2.4393218685205512e-05,1.8580958066633984e-05,5e-05
aC2,0.0006342236858153434,0.0004824904879199694,0.000522
aC3,0.0008618937268772615,0.0008433214610004633,0.001552
aC4,0.00011383502053095906,0.0006105553036889247,0.012146
aC5,8.944180184575355e-05,0.0004953757352127633,0.009106
aC6,9.757287474082205e-05,0.00043834638986712355,0.00772
aC7,6.504858316054804e-05,0.0004144578909962646,0.007784
aC8,0.00011383502053095906,0.0004470177727624919,0.008222
aC9,0.00013009716632109608,0.0004158230062571633,0.007456
aC10,0.00012196609342602757,0.00035178630326198815,0.006026
aC11,8.131072895068504e-05,0.0002519532491283718,0.004448
aC12,4.065536447534252e-05,0.00014697778654308689,0.00287
aC13,1.626214579013701e-05,7.248987762035584e-05,0.001648
aC14,0.0,4.081345571504749e-05,0.00095
aC15,1.626214579013701e-05,1.4102225941837376e-05,0.000502
aC16,8.131072895068505e-06,8.086290223047045e-06,0.000214
aC17,0.0,9.175108949184514e-06,0.000104
aC18,0.0,1.4271271316170441e-06,6e-05
aC19,0.0,6.015484027032345e-07,2.4e-05
aC20,0.0,3.8053943665314897e-07,2.2e-05
aC21,0.0,0.0,0.0
aC22,0.0,0.0,0.0
aC23,0.0,0.0,0.0
aC24,0.0,0.0,0.0
aC-25,4.8786437370411024e-05,8.146291186943414e-05,0.001012
aC-24,0.00010570394763589056,0.0001349134638167814,0.002104
aC-23,0.0002032768223767126,0.000245094026535185,0.00466
aC-22,0.0005935683213400008,0.0006287640965177183,0.00905
aC-21,0.0021222100256128797,0.002160540551396482,0.016742
aC-20,0.005618571370492337,0.0055489113321862595,0.028924
aC-19,0.013091027361060293,0.013034023724863716,0.04808
aC-18,0.031556693905760866,0.03067835341179422,0.074394
aC-17,0.06913038175387243,0.06736151133874628,0.10569
aC-16,0.14538358336382487,0.14418379343391502,0.135892
aC-15,0.24020815546611377,0.24194989157267313,0.152712
aC-14,0.2240354514778225,0.22601169729651185,0.145176
aC-13,0.16198723421555475,0.16324783444975227,0.118828
aC-12,0.07175671829897955,0.07161327027937878,0.08118
aC-11,0.02968654713989511,0.029543864259696424,0.05058
aC-10,0.004650973695979184,0.004867804390729441,0.03117
aC-9,0.000918811237142741,0.0011003710179791077,0.019498
aC-8,0.00039842257185835673,0.0006706315251603942,0.013584
aC-7,0.00045534008212383626,0.0007648593590408965,0.015828
aC-6,0.00015449038500630157,0.00048084645341040546,0.009448
aC-5,0.00013009716632109608,0.0003465286260942728,0.003408
aC-4,2.4393218685205512e-05,0.00013033447398605263,0.001272
aC-3,7.317965605561654e-05,9.86771239345736e-05,0.000532
aC-2,4.8786437370411024e-05,8.236830122144725e-05,0.000854
aC-1,8.131072895068505e-06,1.368914714062732e-06,4e-05
aD0,0.0,0.0,0.0
aD1,3.252429158027402e-05,8.503785287117854e-05,0.000288
aD2,0.0001626214579013701,0.0003854169828997881,0.001626
aD3,0.0035370167093547993,0.003495965462365212,0.006538
aD4,0.04768061145668171,0.04776163689669961,0.053606
aD5,0.07929422287270806,0.07986303149463293,0.070884
aD6,0.04087490344350937,0.040689011471688026,0.048726
aD7,0.040907427735089645,0.04097163470576443,0.049712
aD8,0.041899418628288006,0.04200570544453745,0.045462
aD9,0.044761556287352115,0.044942471463587666,0.039366
aD10,0.0386469894702606,0.03870783619955765,0.032282
aD11,0.02593812253526853,0.025287571308958135,0.024692
aD12,0.012221002561287962,0.012075027683625724,0.017278
aD13,0.005862503557344392,0.0057984053728424596,0.011346
aD14,0.0020896857340326055,0.0021511739952805417,0.00712
aD15,0.0009594666016180835,0.0009749469492598424,0.00393
aD16,0.0003821604260682197,0.0003800991036398369,0.002332
aD17,9.757287474082205e-05,0.00010839771314990823,0.001122
aD18,4.065536447534252e-05,5.0890521209503477e-05,0.000594
aD19,1.626214579013701e-05,3.2392086786586365e-05,0.00026
aD20,0.0,1.465203055489971e-05,0.000106
aD21,0.0,8.324614856486274e-06,5.2e-05
aD22,0.0,6.064499387796367e-06,2.2e-05
aD23,0.0,1.7103926409689563e-06,1.2e-05
aD24,0.0,7.661273406899815e-07,2e-06
aD-25,0.0,0.0,0.0
aD-24,0.0,3.9930608487302233e-07,6e-06
aD-23,0.0,8.87254225304571e-06,3.8e-05
aD-22,0.0,4.399460005419699e-06,3.6e-05
aD-21,8.131072895068505e-06,1.6248593726813053e-05,0.000138
aD-20,8.131072895068505e-06,2.8341580853783202e-05,0.000274
aD-19,4.8786437370411024e-05,5.077961235929797e-05,0.000602
aD-18,2.4393218685205512e-05,7.675540023922108e-05,0.001236
aD-17,0.00022767004106191813,0.00025829402763360163,0.002212
aD-16,0.0006179615400252063,0.0006837711496906988,0.004146
aD-15,0.0012359230800504126,0.0013421329928212072,0.007164
aD-14,0.0026669919095824693,0.0027064029424058297,0.01151
aD-13,0.007326096678456722,0.007310456170417455,0.017302
aD-12,0.015156319876407693,0.015151911764872166,0.02434
aD-11,0.024100500060983045,0.023846758831103848,0.032156
aD-10,0.03558970606171484,0.036108933882742666,0.038888
aD-9,0.046387770866365814,0.04675757632934064,0.04283
aD-8,0.045054274911574585,0.04505897974014811,0.043786
aD-7,0.03337805423425621,0.03358554661674481,0.04085
aD-6,0.03746798390047567,0.03716542285712682,0.043136
aD-5,0.13472374679839005,0.13413987695803503,0.098956
aD-4,0.0008456315810871245,0.00085021715265698,0.004122
aD-3,0.0001788836036915071,0.0003119240679356301,0.001892
aD-2,0.00033337398869780866,0.0003320949253535412,0.001686
aD-1,2.4393218685205512e-05,1.6827351279808983e-06,5.2e-05
aE0,0.0,0.0,0.0
aE1,3.252429158027402e-05,7.485704490442404e-05,0.000282
