Feature,marginal_data,marginal_model,marginal_gen
l1,0.0,0.0,0.0
l2,0.0,0.0,0.0
l3,0.0,0.0,0.0
l4,0.0,3.4268015511848395e-07,4e-06
l5,9.663703131039814e-05,2.1558658563043205e-06,7.4e-05
l6,0.0,9.829393403615508e-06,0.000416
l7,0.00019327406262079628,5.798914502715848e-05,0.002042
l8,0.00038654812524159255,0.00029065289682683016,0.006356
l9,0.0007730962504831851,0.0007545047034187723,0.014922
l10,0.0037688442211055275,0.004058472451265905,0.028972
l11,0.03063393892539621,0.031748094024746834,0.04932
l12,0.07595670660997295,0.0743531594531286,0.07986
l13,0.15345960572091225,0.15222528561801307,0.117648
l14,0.21839969076149982,0.22180054861090817,0.143832
l15,0.22787011982991884,0.22427113189664688,0.146756
l16,0.1516235021260147,0.15144273968043798,0.128876
l17,0.07682643989176652,0.07913127617053184,0.09954
l18,0.03507924236567453,0.03521941733268887,0.069718
l19,0.015268650947042908,0.015194441649084144,0.04649
l20,0.006378044066486278,0.006224300735074951,0.028926
l21,0.002126014688828759,0.002083442096680868,0.01755
l22,0.0005798221878623889,0.0005394457271771233,0.009682
l23,0.00038654812524159255,0.00035705079793846533,0.00496
l24,0.0,6.133761121321891e-05,0.002364
l25,0.00019327406262079628,0.00011189909642607509,0.00101
l26,0.0,3.300162447778186e-05,0.00041
l27,0.0,1.831746747978402e-05,0.000186
l28,0.0,8.28769087512173e-06,5.4e-05
l29,0.0,2.2572555763377685e-06,2.4e-05
l30,0.0,3.709865607985458e-07,4e-06
aA0,0.0,0.0,0.0
aA1,0.864804793196753,0.8669007233031099,0.913932
aA2,0.11035948975647468,0.10984523537005433,0.066668
aA3,0.009470429068419018,0.009192035209150415,0.007888
aA4,0.03343641283339776,0.03332677263996775,0.037566
aA5,0.07518361035948976,0.07605819614140023,0.088032
aA6,0.07064166988790105,0.06944644686785173,0.06295
aA7,0.08600695786625435,0.08550361037914889,0.068032
aA8,0.07035175879396985,0.0700335341842776,0.064362
aA9,0.05885195206803247,0.05980380957092621,0.056076
aA10,0.04947816003092385,0.04906566875283043,0.046696
aA11,0.04580595284112872,0.045441918259540165,0.037608
aA12,0.028991109393119444,0.028802909887212246,0.028854
aA13,0.013819095477386936,0.014141558933322374,0.021154
aA14,0.004831851565519907,0.005372310340471866,0.014308
aA15,0.002126014688828759,0.0023972958132299597,0.009044
aA16,0.0008697332817935833,0.0008761289967689056,0.005154
aA17,0.0007730962504831851,0.0006493356196858144,0.003318
aA18,0.0,0.00013898093904855295,0.001698
aA19,0.0,5.2311531931896874e-05,0.00089
aA20,0.0,3.167100039301516e-05,0.00041
aA21,0.0,1.0078044421081797e-05,0.000212
aA22,0.0,4.786320815146126e-06,7.2e-05
aA23,0.0,4.739048086344622e-06,2.2e-05
aA24,0.0,6.848671362464225e-07,1.2e-05
aA-25,0.0,3.0527357382483634e-05,0.000402
aA-24,0.00019327406262079628,0.0001041171734297991,0.000982
aA-23,0.0,6.259664146648172e-05,0.002306
aA-22,0.00038654812524159255,0.00034105403824194263,0.00485
aA-21,0.0005798221878623889,0.0005180972797863063,0.009462
aA-20,0.002126014688828759,0.0019272038388216358,0.017174
aA-19,0.005991495941244685,0.005972268780021413,0.02852
aA-18,0.014495554696559722,0.014316442052366353,0.046278
aA-17,0.03343641283339776,0.03338930027498236,0.069812
aA-16,0.07383069192114418,0.0756993810965899,0.100508
aA-15,0.14389253962118284,0.144633135997215,0.131646
aA-14,0.21598376497873986,0.21310497132577233,0.15399
aA-13,0.2188828759180518,0.22147375868464195,0.158932
aA-12,0.16872825666795516,0.16835844475486503,0.142326
aA-11,0.11219559335137225,0.11043497473836267,0.117462
aA-10,0.08909934286818709,0.08979621035306153,0.099474
aA-9,0.08436412833397758,0.08569061669800788,0.086776
aA-8,0.08716660224197913,0.08671866373162966,0.08435
aA-7,0.07721298801700811,0.07706436818245951,0.080426
aA-6,0.07006184770003865,0.0711992654924914,0.073056
aA-5,0.010630073444143797,0.010542988392384399,0.018022
aA-4,0.004058755315036722,0.004334267758116788,0.012098
aA-3,0.11209895632006185,0.11097744459872426,0.09375
aA-2,0.00038654812524159255,0.00037156588132684356,0.002042
aA-1,0.0,1.0112037112316002e-05,5.2e-05
aC0,1.0,1.0,1.0
aC1,0.0,4.1158052934647755e-06,1.8e-05
aC2,0.001256281407035176,0.0005936727969078788,0.000498
aC3,0.0005798221878623889,0.0005844730842304966,0.001306
aC4,0.0,0.0007244778950621816,0.010544
aC5,9.663703131039814e-05,0.0006410543697476742,0.008514
aC6,0.00019327406262079628,0.0005823093512242894,0.00773
aC7,9.663703131039814e-05,0.0004549413932549045,0.007984
aC8,0.00019327406262079628,0.00045447447032654454,0.008452
aC9,0.0,0.00035414970373963915,0.007978
aC10,0.0,0.00030415313485813886,0.006458
aC11,0.0,0.00022180888058915066,0.004482
aC12,9.663703131039814e-05,0.00018334389689179579,0.003202
aC13,0.00019327406262079628,0.00012540685048303634,0.001874
aC14,9.663703131039814e-05,5.2685604203347444e-05,0.001136
aC15,9.663703131039814e-05,2.5258600716830575e-05,0.000528
aC16,0.0,9.030253641243174e-06,0.000308
aC17,0.0,1.509633422493797e-06,0.000128
aC18,0.0,1.8006831875111813e-06,5e-05
aC19,0.0,2.0919312691287443e-07,1.2e-05
aC20,0.0,1.7188174170403864e-07,8e-06
aC21,0.0,1.0440045457618937e-07,4e-06
aC22,0.0,2.0534631878871926e-08,2e-06
aC23,0.0,1.5889134040096333e-08,2e-06
aC24,0.0,0.0,0.0
aC-25,0.00019327406262079628,0.00011189909642607509,0.00101
aC-24,0.0,6.133761121321891e-05,0.002364
aC-23,0.00038654812524159255,0.0003570685506138112,0.004964
aC-22,0.0005798221878623889,0.0005395763490741144,0.009688
aC-21,0.002126014688828759,0.0020835546754115557,0.017566
aC-20,0.006378044066486278,0.006224730577376374,0.028968
aC-19,0.015268650947042908,0.015195590448438144,0.04658
aC-18,0.035175879396984924,0.03522854567128096,0.069934
aC-17,0.07682643989176652,0.07914577074274845,0.099892
aC-16,0.1516235021260147,0.15148647469293358,0.129584
aC-15,0.22787011982991884,0.22435861208692046,0.14794
aC-14,0.2185929648241206,0.2220273354446441,0.145726
aC-13,0.15384615384615385,0.1526149866531916,0.120578
aC-12,0.07663316582914573,0.07504056966437912,0.0841
aC-11,0.031020487050637806,0.03246848511525802,0.054694
aC-10,0.00415539234634712,0.004553419591078978,0.035384
aC-9,0.0008697332817935833,0.0012051182659744439,0.022508
aC-8,0.0005798221878623889,0.0008433198791279113,0.014818
aC-7,0.00019327406262079628,0.0006724115060081606,0.017846
aC-6,0.0,0.00035959040153206315,0.009218
aC-5,9.663703131039814e-05,0.000311349712438615,0.00382
aC-4,0.0,0.00013531235108921644,0.001284
aC-3,0.00019327406262079628,0.00012501017388417922,0.000654
aC-2,0.00019327406262079628,0.00010579842718866273,0.00137
aC-1,9.663703131039814e-05,8.382552886202004e-07,4.6e-05
aD0,0.0,0.0,0.0
aD1,9.663703131039814e-05,2.2294183809469097e-05,9.2e-05
aD2,9.663703131039814e-05,0.0002855290434257365,0.001024
aD3,0.004445303440278315,0.0046252667775807475,0.00517
aD4,0.04396984924623116,0.043850204968023124,0.054286
aD5,0.0675492848859683,0.06755909171264755,0.07532
aD6,0.03768844221105527,0.037522040491484415,0.046872
aD7,0.03720525705450328,0.03775543200250269,0.047396
aD8,0.03672207189795129,0.037328725121062334,0.043634
aD9,0.03913799768071125,0.03869549006321363,0.038352
aD10,0.03430614611519134,0.03346502645758829,0.031514
aD11,0.024739080015461924,0.024383190289059782,0.02418
aD12,0.011596443757247778,0.011928753710462156,0.01736
aD13,0.0066679551604174716,0.00634176505013636,0.011424
aD14,0.0017394665635871666,0.0018511978135819257,0.007276
aD15,0.001352918438345574,0.001222811653770602,0.004542
aD16,0.00019327406262079628,0.00029080848779718306,0.002608
aD17,0.00019327406262079628,0.00015261564501193768,0.00129
aD18,9.663703131039814e-05,5.728692570954001e-05,0.000692
aD19,0.0,1.3535517926983204e-05,0.000264
aD20,0.0,3.1012043608541265e-05,0.000122
aD21,0.0,2.6753056720328605e-06,2.8e-05
aD22,0.0,1.2567302309837254e-06,1.2e-05
aD23,0.0,8.038133411348449e-07,6e-06
aD24,0.0,1.5889134040096333e-08,2e-06
aD-25,0.0,7.1386986316148e-07,4e-06
aD-24,0.0,2.9953827874111295e-07,1e-05
aD-23,0.0,2.8790583790257545e-06,1.8e-05
aD-22,0.0,6.426796991124312e-06,8.2e-05
aD-21,0.0,1.3661026557225816e-05,0.000128
aD-20,0.0,2.195685096897948e-05,0.000286
aD-19,0.0,3.5472532947678666e-05,0.000712
aD-18,0.0,7.751103313590149e-05,0.001236
aD-17,0.00038654812524159255,0.00031950968871399674,0.002544
aD-16,0.00048318515655199073,0.0005240352713785833,0.004356
aD-15,0.001256281407035176,0.0013246642751787673,0.007518
aD-14,0.0024159257827599534,0.0027078714961311498,0.01152
aD-13,0.007344414379590259,0.007132395812465132,0.01693
aD-12,0.012949362195593351,0.013562982632961153,0.02328
aD-11,0.021550057982218786,0.021812465985452705,0.03019
aD-10,0.03208349439505218,0.033566764610873615,0.036808
aD-9,0.04087746424429842,0.04009424570625215,0.041074
aD-8,0.03923463471202165,0.03905150296834907,0.041292
aD-7,0.031503672207189796,0.03158586478714741,0.038546
aD-6,0.03333977580208736,0.032485755833578815,0.037774
aD-5,0.12263239273289525,0.12121337946282892,0.108074
aD-4,0.0015461925009663702,0.0013203321050790852,0.005714
aD-3,0.0,0.0002484992437903099,0.002318
aD-2,0.00019327406262079628,0.0002743136159212094,0.00298
aD-1,0.0,3.2574475693797554e-06,7e-05
aE0,0.0,0.0,0.0
aE1,0.0,5.9066574083115084e-05,0.000114
aE2,9.663703131039814e-05,0.00029289522800321645,0.001028
aE3,0.008020873598763046,0.007873480481705497,0.008446
aE4,0.04223038268264399,0.04257248615886155,0.043938
aE5,0.036818708929261694,0.03652556878392617,0.041488
aE6,0.025222265172013914,0.0253901929504246,0.036094
