Feature,marginal_data,marginal_model,marginal_gen
l1,0.0,0.0,0.0
l2,0.0,0.0,0.0
l3,0.0,0.0,0.0
l4,0.0,3.230689307601409e-06,1.4e-05
l5,0.0,5.756764521085612e-06,5.8e-05
l6,0.0001709255619177848,1.6488719907801655e-05,0.000408
l7,0.0001709255619177848,5.63068583470608e-05,0.001636
l8,0.0005127766857533544,0.0003455380124905041,0.004838
l9,0.0007691650286300317,0.0008639385563291131,0.011972
l10,0.005555080762328006,0.005652127220834312,0.024234
l11,0.031535766173831296,0.030135341983949054,0.044426
l12,0.07110503375779847,0.07539060179855853,0.076518
l13,0.15272198957354072,0.1548584075769907,0.115578
l14,0.2125459362447654,0.2132441082857357,0.143078
l15,0.22647636954106487,0.22787601135803606,0.151496
l16,0.15144004785915735,0.1485921601404466,0.13517
l17,0.08341167421587899,0.08188244613254649,0.10526
l18,0.03623621912657038,0.035272510939912176,0.07418
l19,0.016408853944107342,0.015303162061744114,0.047966
l20,0.0067515596957525,0.0064434793226238445,0.02888
l21,0.003162122895479019,0.0031276785972944015,0.016708
l22,0.0005982394667122468,0.00044118792298494276,0.009038
l23,8.54627809588924e-05,0.00013784152699168988,0.004658
l24,0.0001709255619177848,0.0001531245966383104,0.002104
l25,0.0001709255619177848,0.00011546016072880506,0.001012
l26,0.0,4.040987162122517e-05,0.000452
l27,0.0,2.503871965907221e-05,0.000198
l28,0.0,1.0922561038936508e-05,8e-05
l29,0.0,2.7279832550157712e-06,1.6e-05
l30,0.0,5.677076034343338e-07,1e-05
aA0,0.0,0.0,0.0
aA1,0.9071019570976839,0.910284792447892,0.929012
aA2,0.06717374583368943,0.06482289460554734,0.052274
aA3,0.00922998034356038,0.008835832602029404,0.007954
aA4,0.03555251687889924,0.0371176009588708,0.038434
aA5,0.067515596957525,0.06882513638871374,0.080394
aA6,0.07016494316725067,0.07115160686014094,0.060264
aA7,0.0831552858730023,0.08478414379225375,0.064474
aA8,0.0752927100247842,0.07368307374978386,0.062464
aA9,0.057772839928211264,0.05850708045876046,0.054762
aA10,0.04546619947013076,0.04375600078789605,0.046534
aA11,0.03350141013588582,0.03375503318561769,0.039276
aA12,0.024613280916161013,0.023631806782032073,0.031332
aA13,0.012990342705751645,0.012482886308717288,0.023362
aA14,0.007435261943423639,0.007483953095097775,0.016106
aA15,0.0023929578668489874,0.0025567605185332376,0.010118
aA16,0.0005982394667122468,0.0006895207414438988,0.005854
aA17,0.0001709255619177848,0.00030740436110926033,0.003524
aA18,8.54627809588924e-05,0.0002082087073191655,0.001782
aA19,8.54627809588924e-05,6.781213207292097e-05,0.000946
aA20,0.0,1.973345217129549e-05,0.00055
aA21,0.0,1.342735980488073e-05,0.00018
aA22,0.0,5.960073697657998e-06,6e-05
aA23,0.0,3.4750212954670693e-06,3.8e-05
aA24,0.0,2.4101047327555066e-06,2e-05
aA-25,0.0,4.1561382618573e-05,0.000454
aA-24,8.54627809588924e-05,0.00011399160144711252,0.000996
aA-23,0.0001709255619177848,0.0001518458169898319,0.002082
aA-22,8.54627809588924e-05,0.00013442203007483843,0.004592
aA-21,0.0005127766857533544,0.000403984858106439,0.008986
aA-20,0.002991197333561234,0.002992477485569302,0.016494
aA-19,0.007007948038629177,0.006459848060315487,0.028652
aA-18,0.015810614477395093,0.014899239204414019,0.047892
aA-17,0.034356037945474746,0.03349054122814671,0.074322
aA-16,0.08127510469190667,0.08024501476748185,0.106516
aA-15,0.14528672763011707,0.14270165983740746,0.138272
aA-14,0.22211776771216135,0.22366530658933714,0.159062
aA-13,0.2137424151781899,0.2135345378755714,0.157922
aA-12,0.16331937441244337,0.1660587681254008,0.13988
aA-11,0.10640116229382104,0.10998602745126307,0.11368
aA-10,0.08845397829245363,0.0881511969381182,0.093106
aA-9,0.07913853516793437,0.07865169697752147,0.080832
aA-8,0.08238612084437227,0.08424375788679779,0.080116
aA-7,0.0764891889582087,0.07765449496484006,0.075154
aA-6,0.07007948038629178,0.07074019681897255,0.065638
aA-5,0.009742757029313733,0.009081625910421675,0.016144
aA-4,0.0033330484573968035,0.003125793303862844,0.008382
aA-3,0.09717118195026066,0.09616392466940094,0.108812
aA-2,0.0003418511238355696,0.00026035471666000854,0.001408
aA-1,0.0,4.707930994820158e-06,2e-05
aC0,1.0,1.0,1.0
aC1,0.0,1.9123850501286182e-05,5e-05
aC2,0.0006837022476711392,0.0004459479133342508,0.000522
aC3,0.0006837022476711392,0.0006916157298559881,0.001552
aC4,0.0006837022476711392,0.0014234888122679782,0.012146
aC5,0.0001709255619177848,0.0007520880992180014,0.009106
aC6,0.0005127766857533544,0.0008763332387666418,0.00772
aC7,8.54627809588924e-05,0.0004808229914717779,0.007784
aC8,0.0003418511238355696,0.0006457707361272474,0.008222
aC9,0.0001709255619177848,0.0005176754444097502,0.007456
aC10,0.0001709255619177848,0.00044950778254509863,0.006026
aC11,0.0002563883428766772,0.00032513143882734224,0.004448
aC12,8.54627809588924e-05,0.0001723577643586203,0.00287
aC13,8.54627809588924e-05,0.00010059827217964707,0.001648
aC14,8.54627809588924e-05,5.4222133123196017e-05,0.00095
aC15,0.0,2.018687616841117e-05,0.000502
aC16,8.54627809588924e-05,8.64550661916741e-06,0.000214
aC17,8.54627809588924e-05,7.194388190490949e-06,0.000104
aC18,0.0,2.396613327776537e-06,6e-05
aC19,0.0,6.432977770877814e-07,2.4e-05
aC20,0.0,8.922369446597129e-07,2.2e-05
aC21,0.0,0.0,0.0
aC22,0.0,0.0,0.0
aC23,0.0,0.0,0.0
aC24,0.0,0.0,0.0
aC-25,0.0001709255619177848,0.00011546016072880506,0.001012
aC-24,0.0001709255619177848,0.0001531245966383104,0.002104
aC-23,8.54627809588924e-05,0.00013785511557845516,0.00466
aC-22,0.0005982394667122468,0.0004414308660981061,0.00905
aC-21,0.003162122895479019,0.0031287533103737486,0.016742
aC-20,0.0067515596957525,0.006444700703726481,0.028924
aC-19,0.016408853944107342,0.015304554342423443,0.04808
aC-18,0.03623621912657038,0.03527775731632537,0.074394
aC-17,0.08341167421587899,0.08189824110489174,0.10569
aC-16,0.15144004785915735,0.14862756144276973,0.135892
aC-15,0.22656183232202376,0.22798172627805194,0.152712
aC-14,0.2125459362447654,0.2135027425665674,0.145176
aC-13,0.1528929151354585,0.155409809530675,0.118828
aC-12,0.07161781044355184,0.0761900493764594,0.08118
aC-11,0.03204854285958465,0.03106309503107848,0.05058
aC-10,0.0060678574480813605,0.006427930852774886,0.03117
aC-9,0.001281941714383386,0.001474862199921014,0.019498
aC-8,0.0009400905905478165,0.0010430375556964037,0.013584
aC-7,0.0005127766857533544,0.0008155568175194934,0.015828
aC-6,0.0003418511238355696,0.0006698738096146766,0.009448
aC-5,0.00042731390479446203,0.0005049744579067932,0.003408
aC-4,0.0001709255619177848,0.00012520381632878818,0.001272
aC-3,8.54627809588924e-05,8.875061057161101e-05,0.000532
aC-2,0.0002563883428766772,8.356336198873852e-05,0.000854
aC-1,0.0,9.371282244884948e-07,4e-05
aD0,0.0,0.0,0.0
aD1,0.0001709255619177848,0.00010951031733438857,0.000288
aD2,0.0,0.00030534683368611717,0.001626
aD3,0.004956841295615759,0.005085075716968106,0.006538
aD4,0.05042304076574652,0.04993951049941523,0.053606
aD5,0.0731561405008119,0.0713884088168061,0.070884
aD6,0.05161951969917101,0.05206019736537669,0.048726
aD7,0.04461157166054183,0.04604231386249411,0.049712
aD8,0.04221861379369285,0.042244919344377324,0.045462
aD9,0.04119306042218614,0.04067652557024691,0.039366
aD10,0.04221861379369285,0.043052971064439234,0.032282
aD11,0.030510212802324587,0.029513840244581716,0.024692
aD12,0.015554226134518418,0.014667309513112348,0.017278
aD13,0.006580634133834715,0.006088720035843523,0.011346
aD14,0.003931287924109051,0.003606120192796566,0.00712
aD15,0.0013674044953422785,0.0013600683563238776,0.00393
aD16,0.0007691650286300317,0.0005782443473137951,0.002332
aD17,8.54627809588924e-05,6.839615927997522e-05,0.001122
aD18,0.0,3.561039292968098e-05,0.000594
aD19,0.0,2.636136994865493e-05,0.00026
aD20,0.0,1.7573249137086184e-05,0.000106
aD21,0.0,5.025148378083655e-06,5.2e-05
aD22,0.0,4.915959783937185e-06,2.2e-05
aD23,0.0,1.692747195384735e-06,1.2e-05
aD24,0.0,1.057784946058016e-06,2e-06
aD-25,0.0,0.0,0.0
aD-24,0.0,4.1804571185530853e-07,6e-06
aD-23,0.0,7.661178297348338e-06,3.8e-05
aD-22,0.0,5.298167829762497e-06,3.6e-05
aD-21,0.0,1.3921092909960959e-05,0.000138
aD-20,0.0,3.626622482607098e-05,0.000274
aD-19,8.54627809588924e-05,3.4320342301342866e-05,0.000602
aD-18,0.0,5.723214524182746e-05,0.001236
aD-17,0.0005127766857533544,0.00047078497637315466,0.002212
aD-16,0.00042731390479446203,0.0005506307788314636,0.004146
aD-15,0.00213656952397231,0.001952336670405631,0.007164
aD-14,0.003760362362191266,0.0035773948332245595,0.01151
aD-13,0.009315443124519271,0.009088958214424368,0.017302
aD-12,0.01854542346807965,0.01779082486840498,0.02434
aD-11,0.026066148192462182,0.026088844734272153,0.032156
aD-10,0.036065293564652594,0.03601229308417551,0.038888
aD-9,0.04862832236560978,0.04846513733685634,0.04283
aD-8,0.04469703444150073,0.044423564725703316,0.043786
aD-7,0.03786001196478934,0.037383013613060526,0.04085
aD-6,0.04093667207930946,0.04131310938890942,0.043136
aD-5,0.13793692846765235,0.137669612527167,0.098956
aD-4,0.0017092556191778481,0.0011695512084376042,0.004122
aD-3,0.0002563883428766772,0.0004110306377334254,0.001892
aD-2,0.00042731390479446203,0.00035597901984099254,0.001686
aD-1,0.0,1.6654051212344253e-06,5.2e-05
aE0,0.0,0.0,0.0
aE1,0.0,7.493966536253462e-05,0.000282
aE2,0.0002563883428766772,0.0005368138635567395,0.001672
aE3,0.012563028800957183,0.011313778457592072,0.007556
aE4,0.045722587813007434,0.045018729101376116,0.044872
aE5,0.04546619947013076,0.04406394490604196,0.045116
aE6,0.031022989488077943,0.03016328381929331,0.039186
